"","","P","W","D","L","F","A","+/-","Pts"
"1","Liverpool","19","15","4","0","49","9","+40","49"
"2","Manchester City","19","15","2","2","58","15","+43","47"
"3","Arsenal","19","13","2","4","35","17","+18","41"
"4","Tottenham Hotspur","19","13","1","5","38","19","+19","40"
"5","Manchester United","19","10","5","4","32","22","+10","35"
"6","Chelsea","19","9","7","3","37","22","+15","34"
"7","Leicester City","19","10","4","5","34","23","+11","34"
"8","West Ham United","19","9","5","5","33","26","+7","32"
"9","Newcastle United","19","8","6","5","26","27","-1","30"
"10","Crystal Palace","19","7","8","4","27","17","+10","29"
"11","Everton","19","9","2","8","27","25","+2","29"
"12","Southampton","19","6","7","6","23","24","-1","25"
"13","Brentford","19","7","3","9","22","21","+1","24"
"14","Wolverhampton Wanderers","19","7","3","9","20","25","-5","24"
"15","Aston Villa","19","6","5","8","29","29","0","23"
"16","Brighton & Hove Albion","19","5","7","7","19","23","-4","22"
"17","Burnley","19","5","6","8","18","25","-7","21"
"18","Leeds United","19","4","6","9","19","38","-19","18"
"19","Norwich City","19","3","3","13","12","43","-31","12"
"20","Watford","19","2","2","15","17","46","-29","8"
